file,line,count,owner,owner_reason,text
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,7,1,user_signoff,user acceptance or signature,| 试点单位 | 待用户填写 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,8,1,site_operations,site deployment or operation confirmation,| 试点站点/园区 | 待用户填写 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,9,1,user_signoff,user acceptance or signature,| 试点周期 | 待用户填写 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,11,1,user_signoff,user acceptance or signature,| 部署负责人 | 待用户填写 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,12,1,user_signoff,user acceptance or signature,| 用户联系人 | 待用户填写 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,13,1,site_operations,site deployment or operation confirmation,| 数据授权编号 | 待用户填写 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,19,1,site_operations,site deployment or operation confirmation,| TAP/SPAN/镜像点位已授权 | 待现场确认 | 授权单编号 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,20,1,site_operations,site deployment or operation confirmation,| site values 已确认 | 待现场确认 | `deployments/kubernetes/site-values.template.yaml` 的现场实例 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,21,1,site_operations,site deployment or operation confirmation,| 资源配额和保留期已确认 | 待现场确认 | CPU/内存/磁盘/PCAP retention 表 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,22,1,site_operations,site deployment or operation confirmation,| NTP/PTP 时间同步已确认 | 待现场确认 | 时间同步检查记录 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,23,1,site_operations,site deployment or operation confirmation,| 只读观测优先策略已确认 | 待现场确认 | 变更审批或会议纪要 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,30,1,site_operations,site deployment or operation confirmation,| 采集 | Probe Agent | 内部证据通过，待现场签认 | probe-ops governance r2、release manifest r72 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,31,1,site_operations,site deployment or operation confirmation,| 接入 | APISIX / Ingest Gateway | 内部证据通过，待现场签认 | deployment preflight r60、business flow API r26 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,32,1,site_operations,site deployment or operation confirmation,| 消息 | Kafka | TLS/SASL/ACL live rollout 已通过，待现场签认 | Kafka rollout r6、Kafka security preflight r9、release manifest r72 live topics |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,33,1,site_operations,site deployment or operation confirmation,| 分析 | Flink jobs | 内部证据通过，待现场签认 | release manifest r72 workloads、HA readiness r9 non-destructive checks |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,34,1,site_operations,site deployment or operation confirmation,| 存储 | PostgreSQL / ClickHouse / OpenSearch / MinIO | 内部证据通过，待现场签认 | release manifest r72、HA readiness r9 non-destructive checks |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,35,1,site_operations,site deployment or operation confirmation,| 控制面 | Go API services | 内部证据通过，待现场签认 | deployment preflight r60、business flow API r26 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,64,1,site_operations,site deployment or operation confirmation,| 待试点周报填写 | 待试点周报填写 | Probe ready、Flink checkpoint、Kafka ISR、API 5xx、UI error | 待现场连续运行确认 | `pilot-weekly-report-template.md` |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,81,3,user_signoff,user acceptance or signature,| 用户代表 | 待用户填写 | 待签字填写 | 待签字 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,82,3,user_signoff,user acceptance or signature,| 实施负责人 | 待填写 | 待签字填写 | 待签字 |
doc/02_acceptance/08-third-party/pilot-deployment-proof.md,83,3,user_signoff,user acceptance or signature,| 项目经理 | 待填写 | 待签字填写 | 待签字 |
doc/02_acceptance/08-third-party/pilot-weekly-report-template.md,7,1,user_signoff,user acceptance or signature,| 试点单位 | TBD |
doc/02_acceptance/08-third-party/pilot-weekly-report-template.md,11,1,project_review,review fill-in value,| 本周结论 | TBD |
