review_id,phase,round,role,domain,issue,decision,doc_anchor
"R-00001","初评","1","产品经理","售前闭环","相对 SIEM、IDS、NDR、抓包平台的差异化需要讲成客户语言。","采用“看得见、判得准、查得到、改得动、验得过”的价值链表达。","01_design/课题一产品与技术总体设计.md#8-竞争力设计"
"R-00002","初评","2","技术经理","工程闭环","Probe 到 Web UI 的链路需要形成可复核流程。","固化 Probe -> Ingest -> Kafka -> Flink -> 存储 -> Go API -> Web UI -> Feedback -> MLOps 的流程走向。","01_design/课题一产品与技术总体设计.md#54-核心功能闭环"
"R-00003","初评","3","销售经理","产品闭环","全流量能力容易被误解为永久全包留存。","明确产品口径为 Flow/Session/Feature 实时分析加策略化 PCAP 索引、裁剪、留存和下载。","01_design/课题一产品与技术总体设计.md#2-任务书边界"
"R-00004","初评","4","产品经理","课题一符合度","课题一要求的多源异构数据融合需要映射到流量、资产、设备日志、用户行为四类可验收数据源。","在设计文档增加任务书指标追溯矩阵，并把每类数据源绑定到采集、处理、存储、页面和测试证据。","01_design/课题一产品与技术总体设计.md#3-req-t1-追溯矩阵"
"R-00005","初评","5","技术经理","售前闭环","相对 SIEM、IDS、NDR、抓包平台的差异化需要讲成客户语言。","采用“看得见、判得准、查得到、改得动、验得过”的价值链表达。","01_design/课题一产品与技术总体设计.md#8-竞争力设计"
"R-00006","初评","6","销售经理","工程闭环","Probe 到 Web UI 的链路需要形成可复核流程。","固化 Probe -> Ingest -> Kafka -> Flink -> 存储 -> Go API -> Web UI -> Feedback -> MLOps 的流程走向。","01_design/课题一产品与技术总体设计.md#54-核心功能闭环"
"R-00007","初评","7","产品经理","产品闭环","全流量能力容易被误解为永久全包留存。","明确产品口径为 Flow/Session/Feature 实时分析加策略化 PCAP 索引、裁剪、留存和下载。","01_design/课题一产品与技术总体设计.md#2-任务书边界"
"R-00008","初评","8","技术经理","课题一符合度","课题一要求的多源异构数据融合需要映射到流量、资产、设备日志、用户行为四类可验收数据源。","在设计文档增加任务书指标追溯矩阵，并把每类数据源绑定到采集、处理、存储、页面和测试证据。","01_design/课题一产品与技术总体设计.md#3-req-t1-追溯矩阵"
"R-00009","初评","9","销售经理","售前闭环","相对 SIEM、IDS、NDR、抓包平台的差异化需要讲成客户语言。","采用“看得见、判得准、查得到、改得动、验得过”的价值链表达。","01_design/课题一产品与技术总体设计.md#8-竞争力设计"
"R-00010","初评","10","产品经理","工程闭环","Probe 到 Web UI 的链路需要形成可复核流程。","固化 Probe -> Ingest -> Kafka -> Flink -> 存储 -> Go API -> Web UI -> Feedback -> MLOps 的流程走向。","01_design/课题一产品与技术总体设计.md#54-核心功能闭环"
"R-00011","初评","11","技术经理","产品闭环","全流量能力容易被误解为永久全包留存。","明确产品口径为 Flow/Session/Feature 实时分析加策略化 PCAP 索引、裁剪、留存和下载。","01_design/课题一产品与技术总体设计.md#2-任务书边界"
"R-00012","初评","12","销售经理","课题一符合度","课题一要求的多源异构数据融合需要映射到流量、资产、设备日志、用户行为四类可验收数据源。","在设计文档增加任务书指标追溯矩阵，并把每类数据源绑定到采集、处理、存储、页面和测试证据。","01_design/课题一产品与技术总体设计.md#3-req-t1-追溯矩阵"
"R-00013","初评","13","产品经理","售前闭环","相对 SIEM、IDS、NDR、抓包平台的差异化需要讲成客户语言。","采用“看得见、判得准、查得到、改得动、验得过”的价值链表达。","01_design/课题一产品与技术总体设计.md#8-竞争力设计"
"R-00014","初评","14","技术经理","工程闭环","Probe 到 Web UI 的链路需要形成可复核流程。","固化 Probe -> Ingest -> Kafka -> Flink -> 存储 -> Go API -> Web UI -> Feedback -> MLOps 的流程走向。","01_design/课题一产品与技术总体设计.md#54-核心功能闭环"
"R-00015","初评","15","销售经理","产品闭环","全流量能力容易被误解为永久全包留存。","明确产品口径为 Flow/Session/Feature 实时分析加策略化 PCAP 索引、裁剪、留存和下载。","01_design/课题一产品与技术总体设计.md#2-任务书边界"
"R-00016","初评","16","产品经理","课题一符合度","课题一要求的多源异构数据融合需要映射到流量、资产、设备日志、用户行为四类可验收数据源。","在设计文档增加任务书指标追溯矩阵，并把每类数据源绑定到采集、处理、存储、页面和测试证据。","01_design/课题一产品与技术总体设计.md#3-req-t1-追溯矩阵"
"R-00017","初评","17","技术经理","售前闭环","相对 SIEM、IDS、NDR、抓包平台的差异化需要讲成客户语言。","采用“看得见、判得准、查得到、改得动、验得过”的价值链表达。","01_design/课题一产品与技术总体设计.md#8-竞争力设计"
"R-00018","初评","18","销售经理","工程闭环","Probe 到 Web UI 的链路需要形成可复核流程。","固化 Probe -> Ingest -> Kafka -> Flink -> 存储 -> Go API -> Web UI -> Feedback -> MLOps 的流程走向。","01_design/课题一产品与技术总体设计.md#54-核心功能闭环"
"R-00019","初评","19","产品经理","产品闭环","全流量能力容易被误解为永久全包留存。","明确产品口径为 Flow/Session/Feature 实时分析加策略化 PCAP 索引、裁剪、留存和下载。","01_design/课题一产品与技术总体设计.md#2-任务书边界"
"R-00020","初评","20","技术经理","课题一符合度","课题一要求的多源异构数据融合需要映射到流量、资产、设备日志、用户行为四类可验收数据源。","在设计文档增加任务书指标追溯矩阵，并把每类数据源绑定到采集、处理、存储、页面和测试证据。","01_design/课题一产品与技术总体设计.md#3-req-t1-追溯矩阵"
"R-00021","初评","21","销售经理","售前闭环","相对 SIEM、IDS、NDR、抓包平台的差异化需要讲成客户语言。","采用“看得见、判得准、查得到、改得动、验得过”的价值链表达。","01_design/课题一产品与技术总体设计.md#8-竞争力设计"
"R-00022","初评","22","产品经理","工程闭环","Probe 到 Web UI 的链路需要形成可复核流程。","固化 Probe -> Ingest -> Kafka -> Flink -> 存储 -> Go API -> Web UI -> Feedback -> MLOps 的流程走向。","01_design/课题一产品与技术总体设计.md#54-核心功能闭环"
"R-00023","初评","23","技术经理","产品闭环","全流量能力容易被误解为永久全包留存。","明确产品口径为 Flow/Session/Feature 实时分析加策略化 PCAP 索引、裁剪、留存和下载。","01_design/课题一产品与技术总体设计.md#2-任务书边界"
"R-00024","初评","24","销售经理","课题一符合度","课题一要求的多源异构数据融合需要映射到流量、资产、设备日志、用户行为四类可验收数据源。","在设计文档增加任务书指标追溯矩阵，并把每类数据源绑定到采集、处理、存储、页面和测试证据。","01_design/课题一产品与技术总体设计.md#3-req-t1-追溯矩阵"
"R-00025","初评","25","产品经理","售前闭环","相对 SIEM、IDS、NDR、抓包平台的差异化需要讲成客户语言。","采用“看得见、判得准、查得到、改得动、验得过”的价值链表达。","01_design/课题一产品与技术总体设计.md#8-竞争力设计"
"R-00026","初评","26","技术经理","工程闭环","Probe 到 Web UI 的链路需要形成可复核流程。","固化 Probe -> Ingest -> Kafka -> Flink -> 存储 -> Go API -> Web UI -> Feedback -> MLOps 的流程走向。","01_design/课题一产品与技术总体设计.md#54-核心功能闭环"
"R-00027","初评","27","销售经理","产品闭环","全流量能力容易被误解为永久全包留存。","明确产品口径为 Flow/Session/Feature 实时分析加策略化 PCAP 索引、裁剪、留存和下载。","01_design/课题一产品与技术总体设计.md#2-任务书边界"
"R-00028","初评","28","产品经理","课题一符合度","课题一要求的多源异构数据融合需要映射到流量、资产、设备日志、用户行为四类可验收数据源。","在设计文档增加任务书指标追溯矩阵，并把每类数据源绑定到采集、处理、存储、页面和测试证据。","01_design/课题一产品与技术总体设计.md#3-req-t1-追溯矩阵"
"R-00029","初评","29","技术经理","售前闭环","相对 SIEM、IDS、NDR、抓包平台的差异化需要讲成客户语言。","采用“看得见、判得准、查得到、改得动、验得过”的价值链表达。","01_design/课题一产品与技术总体设计.md#8-竞争力设计"
