review_index,sample_id,source_type,source_id,severity,status,first_seen,candidate_ground_truth_hint,label_review_status,label_ground_truth,label_attack_family,label_is_unknown,label_is_encrypted,prediction_review_status,prediction,prediction_score,threshold,third_party_decision,review_note
1,alert-cf171f474f1d2987,alert,alert-default-1782752318016-1dd589c4,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:38.016Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
2,alert-4b4b292eaaf02e61,alert,alert-default-1782752312710-7134fcdb,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:32.71Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
3,alert-4b374fe628a0a5d3,alert,alert-default-1782752311943-89896314,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.943Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
4,alert-3baf0df169d894dd,alert,alert-default-1782752311814-b51443a6,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.814Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
5,alert-31357d90523f361a,alert,alert-default-1782752311805-bfd5f072,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.805Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
6,alert-5d95a2d195e56049,alert,alert-default-1782752311804-6170f4fa,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.804Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
7,alert-458072c90a66c983,alert,alert-default-1782752286357-debb51db,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:06.357Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
8,alert-812ab55114275344,alert,alert-default-1782752311803-4c37a06b,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.803Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
9,alert-1304dbba72efe6ba,alert,alert-default-1782752311727-22900cbd,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.727Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
10,alert-11af9054b6fefa4f,alert,alert-default-1782752311726-24bdd622,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.726Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
11,alert-ce51577b801005a6,alert,alert-default-1782752311623-eca280bd,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.623Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
12,alert-cd57f9c19c8c275b,alert,alert-default-1782752245404-bce0076b,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:57:25.404Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
13,alert-e9abd20c23503b8f,alert,alert-default-1782752311622-c4e5ff51,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.622Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
14,alert-869ee7a9092cd455,alert,alert-default-1782752311466-812bef03,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.466Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
15,alert-294630626ceb94b4,alert,alert-default-1782752074071-af3e84a9,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:54:34.071Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
16,alert-e1019698818d3122,alert,alert-default-1782751991803-d4b01a2d,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:53:11.803Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
17,alert-c046a66e690dc397,alert,alert-default-1782752311438-a26b1b13,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.438Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
18,alert-95d2e9de6c617db4,alert,alert-default-1782751691511-1bf69130,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:48:11.511Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
19,alert-fd8d6069e9dffd68,alert,alert-default-1782752311426-5cfdcc81,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:31.426Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
20,alert-325461f935cb70bb,alert,alert-default-1782752281629-b7de9f2c,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:58:01.629Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
21,alert-55e76fbe86064e77,alert,alert-default-1782751381057-8c057859,SEVERITY_CRITICAL,ALERT_STATUS_NEW,2026-06-29T16:43:01.057Z,,needs_blind_label_review,,,,,needs_no_label_prediction_run,,,TBD,TBD: include | exclude | request_more_context,TBD
